a death spasm that infects the galaxy.
      0 100.00%: 
      1 145.66%:  a
   6753 0.03%:  aliens that may
   6754 0.03%:  the last gasp in the face
   6755 0.03%:  a plea against the decay
   6756 0.03%:  a plea against the ext
   6757 0.03%:  the last time the st
   6758 0.03%:  the cap
   6759 0.03%:  a final cass
   6760 1.79%:  a final cassette tape that
   6761 0.29%:  a final cassette tape that has
   6762 0.18%:  a final cassette that
   6763 0.09%:  a final cassette tape.
   6764 0.05%:  a final cassette that gets
   6765 0.04%:  a final cassette tape that may
   6766 0.03%:  a fatalism that has
   6767 0.08%:  a fatalism that has shaped
   6768 0.03%:  a sail
   6769 0.03%:  a message that plays at
   6770 0.03%:  the final act that says
   6771 0.03%:  the animated
   6772 0.03%:  a legacy that ends
   6773 0.03%:  said that at least the
   6774 0.03%:  a cassette tape in a d
   6775 0.03%:  the last time any cat
   6776 0.03%:  a gasp
   6777 0.03%:  a timely
   6778 0.03%:  the fact that a planet has said
   6779 0.03%:  the last thing a system
   6780 0.03%:  the species that has a
   6781 0.03%:  a message that places faith
   6782 0.03%:  the last sham
   6783 0.03%:  the last in space
   6784 0.03%:  the last in space that
   6785 0.03%:  a message that insp
   6786 0.03%:  a planet that has a date st
   6787 0.03%:  the last page that can
   6788 0.03%:  a place that miss
   6789 0.03%:  a place that misses the
   6790 0.03%:  a planet that misste
   6791 0.03%:  a sigh that says that
   6792 0.03%:  nice at least that they had
   6793 0.03%:  a shame that this planet
   6794 0.03%:  against a
   6795 0.03%:  hit the
   6796 0.03%:  said that the last ten
   6797 0.03%:  as expected
   6798 0.03%:  a thing that lasts as
   6799 0.03%:  nasty that
   6800 0.03%:  the fact that helps
   6801 0.03%:  a message that has in
   6802 0.03%:  a lament that says it
   6803 0.03%:  the last in case they
   6804 0.03%:  a last ditch sent
   6805 0.03%:  ind
   6806 0.03%:  at least as sexy
   6807 0.03%:  placing
   6808 0.03%:  a singles
   6809 0.03%:  at least that and
   6810 0.03%:  the thing that set
   6811 0.03%:  telepathic and that
   6812 0.03%:  the last that says in
   6813 0.03%:  a message that can at
   6814 0.04%:  a message that can at last
   6815 0.03%:  tit
   6816 0.03%:  the map
   6817 0.03%:  a final attempt at ex
   6818 0.03%:  the pathetic fl
   6819 0.03%:  final text
   6820 0.03%:  its last gasp and
   6821 0.03%:  the last the day
   6822 0.03%:  a message in that last
   6823 0.03%:  a pathetic sh
   6824 0.03%:  the last that dies the
   6825 0.03%:  a last stand at peace
   6826 0.03%:  as if the sea
   6827 0.03%:  said that the same planets
   6828 0.03%:  a flaming
   6829 0.03%:  an at
   6830 0.06%:  an atlas
   6831 0.03%:  the sadness at
   6832 0.03%:  the last timesh
   6833 0.03%:  the last thing made at
   6834 0.03%:  the last that exists.
   6835 0.03%:  scient
   6836 0.03%:  in case the galaxy has made
   6837 0.03%:  a message that dist
   6838 0.05%:  a message that distantly
   6839 0.03%:  a legend that sp
   6840 0.03%:  a last attempt at hand
   6841 0.03%:  the last image that says
   6842 0.03%:  the same thing that spaces
   6843 0.03%:  the past
   6844 0.03%:  a dais
   6845 0.03%:  at least that if
   6846 0.03%:  the message in that last
   6847 0.03%:  pages
   6848 0.03%:  the day the last thing
   6849 0.03%:  a planet that sighs at
   6850 0.03%:  the last things that fade
   6851 0.03%:  the last thing the dat
   6852 0.03%:  the exact same thing as salt
   6853 0.03%:  the last thing my head
   6854 0.03%:  a last gasp at en
   6855 0.03%:  the last testament.
   6856 0.03%:  nice that they at least sp
   6857 0.03%:  a cassette adapt
   6858 0.03%:  the last that the dying
   6859 0.03%:  the last dance that sh
   6860 0.03%:  an attempt at legacy.
   6861 0.03%:  a sc
   6862 0.03%:  a sad thing that the space
   6863 0.03%:  a plea that things
   6864 0.03%:  exactly the same thing as a sad
   6865 0.03%:  this fantasy
   6866 0.03%:  the last ship that gets
   6867 0.03%:  a detail
   6868 0.03%:  a failed attempt at gen
   6869 0.03%:  a planet that dim
   6870 0.03%:  the day that this
   6871 0.03%:  a last gasp attachment
   6872 0.03%:  a message a child
   6873 0.03%:  the last time that has
   6874 0.05%:  the last time that has any
   6875 0.03%:  a last ditch message a
   6876 0.03%:  a hit
   6877 0.03%:  a dance step that lasts the
   6878 0.03%:  as simple as that and they
   6879 0.03%:  an emphasis
   6880 0.03%:  aliens that see
   6881 0.03%:  an attempt at life.
   6882 0.03%:  my special
   6883 0.03%:  the mix
   6884 0.03%:  a side
   6885 0.03%:  a fact that the planet dies
   6886 0.03%:  the last speech a
   6887 0.03%:  the last thing a dyst
   6888 0.03%:  the same as that final
   6889 0.03%:  planet that
   6890 0.03%:  disease
   6891 0.06%:  disease that
   6892 0.03%:  my setting
   6893 0.03%:  an attempt at fl
   6894 0.03%:  a message that any space
   6895 0.03%:  a cassette that they
   6896 0.03%:  a sign that says help
   6897 0.03%:  then that the galaxy dies
   6898 0.03%:  a species at last
   6899 0.03%:  the final death sh
   6900 0.03%:  a shame the tape
   6901 0.03%:  the pathetic sh
   6902 0.03%:  a planet that says if that
   6903 0.03%:  titles
   6904 0.03%:  as the last thing the
   6905 0.03%:  hand
   6906 0.03%:  a final message ch
   6907 0.03%:  a message that the final
   6908 0.03%:  played sixteen
   6909 0.03%:  the same c
   6910 0.03%:  the last thing the am
   6911 0.03%:  as if the planet h
   6912 0.03%:  the last emiss
   6913 0.03%:  the aliens that made that
   6914 0.03%:  a planet that faced
   6915 0.08%:  a planet that faced the
   6916 0.03%:  defeatist
   6917 0.03%:  a next
   6918 0.03%:  the pity
   6919 0.03%:  this mad
   6920 0.03%:  a message that hides a
   6921 0.03%:  played at 
   6922 0.03%:  an att
   6923 0.03%:  a last attempt at dec
   6924 0.03%:  a planet that has fat
   6925 0.03%:  the fact that al
   6926 0.03%:  a pass
   6927 0.03%:  the last message that hint
   6928 0.03%:  a feeling that a
   6929 0.03%:  the same last thing that
   6930 0.03%:  the aliens that get a
   6931 0.03%:  a last gasp that f
   6932 0.03%:  a death plea that can
   6933 0.03%:  the last thing a t
   6934 0.03%:  nice that the sp
   6935 0.03%:  a planet that ha
   6936 0.03%:  a cast
   6937 0.03%:  the mean
   6938 0.03%:  exactly against
   6939 0.03%:  destiny that that spaces
   6940 0.03%:  stitched
   6941 0.03%:  a final test that the
   6942 0.03%:  at times
   6943 0.03%:  a date that the
   6944 0.09%:  a date that the planet
   6945 0.04%:  a date that the galaxy
   6946 0.04%:  a date that the galaxy has
   6947 0.03%:  a date that the planet has
   6948 0.03%:  the la
   6949 0.03%:  a cassette tape that an
   6950 0.03%:  a plea that might as
   6951 0.03%:  less than 
   6952 0.03%:  its death
   6953 0.03%:  a cassette tape that sl
   6954 0.03%:  nice at least they
   6955 0.03%:  said that the message at
   6956 0.03%:  spent the last six
   6957 0.03%:  a sadness
   6958 0.07%:  a sadness that
   6959 0.03%:  the last idea that each
   6960 0.03%:  a sheepish hand
   6961 0.03%:  held in a message
   6962 0.05%:  held in a message caps
   6963 0.03%:  held in a message that
   6964 0.03%:  meant that
   6965 0.03%:  a message that en
   6966 0.03%:  the last gasp a
   6967 0.03%:  exactly as sad as that met
   6968 0.03%:  the exact same thing that d
   6969 0.03%:  a sales pitch that has
   6970 0.03%:  a mix tape.
   6971 0.03%:  a last message et
   6972 0.03%:  nice that the galaxy has taste
   6973 0.03%:  a slice
   6974 0.03%:  the last thing the meta
   6975 0.03%:  de
   6976 0.03%:  my sinc
   6977 0.03%:  existence last
   6978 0.03%:  the climax that ends the
   6979 0.03%:  the last day that species
   6980 0.03%:  the last thing that yes
   6981 0.03%:  the he
   6982 0.03%:  said that the cassette may
   6983 0.03%:  the last empath
   6984 0.03%:  a testament.
   6985 0.03%:  a pit
   6986 0.03%:  a date that passes in a
   6987 0.03%:  a last gasp that ends that
   6988 0.03%:  a climax that ends
   6989 0.03%:  the sexiest that
   6990 0.03%:  a last gasp meant
   6991 0.03%:  the last thing made that says
   6992 0.03%:  the last thing that spaaaa
   6993 0.03%:  the final death spas
   6994 0.03%:  the days
   6995 0.03%:  the same space as
   6996 0.03%:  the last date that man
   6997 0.03%:  the lightest and the
   6998 0.03%:  a planet that fed
   6999 0.03%:  left as a message and
   7000 0.03%:  nice at least that my
   7001 0.03%:  a shame that the final
   7002 0.03%:  the seemingly
   7003 0.03%:  a final text message that sp
   7004 0.03%:  pathetic and the last
   7005 0.03%:  the sad thing the
   7006 0.03%:  a galaxy that is
   7007 0.03%:  the des
   7008 0.03%:  madness that if
   7009 0.03%:  a planet that missed the fact
   7010 0.03%:  a gift that says please
   7011 0.03%:  a gend
   7012 0.03%:  said the last page
   7013 0.03%:  a plea in case
   7014 0.03%:  the cassette that sp
   7015 0.03%:  the last that needs
   7016 0.03%:  the signal that a
   7017 0.03%:  excited
   7018 0.03%:  the aliens that pass
   7019 0.03%:  physical statement
   7020 0.03%:  pathetic that my
   7021 0.03%:  the digest
   7022 0.03%:  the plasma
   7023 0.03%:  the last extant time
   7024 0.04%:  the last extant time caps
   7025 0.03%:  a tiny c
   7026 5.99%:  a tiny cassette tape
   7027 2.01%:  a tiny cassette that
   7028 0.41%:  a tiny cassette left
   7029 0.12%:  a tiny cassette held
   7030 0.08%:  a tiny cassette tape.
   7031 0.06%:  a tiny cassette made
   7032 0.04%:  a tiny cassette tape fast
   7033 0.03%:  a lament that this
   7034 0.03%:  a capital
   7035 0.03%:  the last ache
   7036 0.06%:  the last ache in
   7037 0.03%:  the same plea that is
   7038 0.03%:  least
   7039 0.03%:  the same thing as the d
   7040 0.03%:  the last time the cast
   7041 0.03%:  a techn
   7042 0.03%:  miles and
   7043 0.03%:  sad that the thing
   7044 0.03%:  cheese that
   7045 0.03%:  a date in space that lasts a
   7046 0.03%:  hit play
   7047 0.03%:  the safest path
   7048 0.03%:  a cassette tape saying that
   7049 0.03%:  the last thing a face
   7050 0.03%:  a plea that has since
   7051 0.03%:  a dance that lasts 
   7052 0.03%:  the same as the distant
   7053 0.05%:  the same as the distant galaxy
   7054 0.03%:  nice that the pl
   7055 0.03%:  the last chimes
   7056 0.03%:  a lament that says despite
   7057 0.03%:  a statement that f
   7058 0.04%:  a statement that fades
   7059 0.04%:  a statement that fades as
   7060 0.03%:  the last idea an
   7061 0.03%:  a delight
   7062 0.03%:  the exact same l
   7063 0.03%:  change that
   7064 0.03%:  played 
   7065 0.03%:  an attempt at def
   7066 0.03%:  nice that the galaxy has a date
   7067 0.03%:  the last ditch gam
   7068 0.03%:  the last sight that a
   7069 0.03%:  a spaceless
   7070 0.03%:  incase
   7071 0.03%:  the last message that a din
   7072 0.03%:  a testament that life had
   7073 0.03%:  a planet that has the face
   7074 0.03%:  the last time at the
   7075 0.03%:  the last thing a catast
   7076 0.03%:  a message that a distant
   7077 0.03%:  an attempt at cl
   7078 0.03%:  a message that can say that
   7079 0.03%:  a failed attempt at a synt
   7080 0.03%:  said that a planet at
   7081 0.03%:  this exactly
   7082 0.03%:  a me
   7083 0.03%:  the last gasp that defines a
   7084 0.03%:  a sad planet that gets the
   7085 0.03%:  the last image a spaces
   7086 0.03%:  the last sane attempt
   7087 0.03%:  a message that plays that
   7088 0.03%:  a message sent al
   7089 0.03%:  the final gasp that
   7090 0.05%:  the final gasp that says
   7091 0.03%:  pleasing that a
   7092 0.03%:  a last gasp that the
   7093 0.03%:  th
   7094 0.03%:  a tiny space age
   7095 0.03%:  the last step in a game
   7096 0.03%:  the last time the anc
   7097 0.03%:  the last time apes can say
   7098 0.03%:  space last
   7099 0.03%:  a shame that these
   7100 0.04%:  a shame that these distant
   7101 0.03%:  them
   7102 0.07%:  them saying
   7103 0.04%:  themed
   7104 0.03%:  a date in space.
   7105 0.03%:  a planet that says its had
   7106 0.03%:  that thing that a
   7107 0.03%:  a final attempt at a death
   7108 0.03%:  a planet that has fast
   7109 0.03%:  the exact same thing a last
   7110 0.03%:  a del
   7111 0.03%:  the ethical
   7112 0.03%:  my single
   7113 0.03%:  the last time sex
   7114 0.03%:  the last.
   7115 0.03%:  the last thing she made
   7116 0.03%:  a pathetic fate that
   7117 0.03%:  a message that the plants
   7118 0.03%:  a cassette that lasted
   7119 0.03%:  a pals
   7120 0.03%:  the exact last time
   7121 0.03%:  the same thing that lets
   7122 0.03%:  the same thing the last days
   7123 0.03%:  empty.
   7124 0.03%:  a tiny cassette tape t
   7125 0.03%:  the last that has a
   7126 0.03%:  a last act that
   7127 0.07%:  a last act that says
   7128 0.07%:  a last act that defines
   7129 0.05%:  a last act that defines the
   7130 0.03%:  a final message sh
   7131 0.03%:  said that as that
   7132 0.04%:  said that as that last
   7133 0.03%:  the empty
   7134 0.03%:  in the same shape
   7135 0.05%:  in the same shape as a
   7136 0.03%:  settled that
   7137 0.03%:  a species that sh
   7138 0.03%:  that and the message is
   7139 0.03%:  the same in the
   7140 0.03%:  said that the men that
   7141 0.03%:  a chain
   7142 0.03%:  a pathetic message and
   7143 0.03%:  failed many
   7144 0.03%:  a cassette that has the
   7145 0.03%:  the same thing that sc
   7146 0.03%:  madness that the ship
   7147 0.03%:  the same thing that says
   7148 0.03%:  a fatal disease that e
   7149 0.03%:  the fact that a message
   7150 0.06%:  the fact that a message in
   7151 0.03%:  the fact that a message is
   7152 0.03%:  the sym
   7153 0.03%:  a plea against the de
   7154 0.03%:  is
   7155 0.21%:  is a planet
   7156 0.03%:  as if a hand
   7157 0.03%:  a last dance at the high
   7158 0.03%:  messing
   7159 0.03%:  a failed attempt at stanch
   7160 0.03%:  the cheesy
   7161 0.03%:  at least as sad
   7162 0.03%:  the last dance that may
   7163 0.03%:  a final message that at
   7164 0.06%:  a final message that at the
   7165 0.03%:  the fact that the day
   7166 0.03%:  assist
   7167 0.03%:  a dance that may
   7168 0.03%:  a last attempt at defiance.
   7169 0.03%:  the last thing they eat
   7170 0.03%:  the last pageant the
   7171 0.03%:  the last time a sp
   7172 0.03%:  the idea that at
   7173 0.03%:  that excitement
   7174 0.03%:  a last stand set
   7175 0.03%:  an empty last gas
   7176 0.03%:  sad that it seems
   7177 0.03%:  a mighty last
   7178 0.03%:  the ex
   7179 0.03%:  the ins
   7180 0.03%:  a stapling
   7181 0.03%:  the panic
   7182 0.03%:  a species that gets a
   7183 0.03%:  the last m
   7184 0.56%:  the last mating
   7185 0.04%:  the last masc
   7186 0.03%:  the last message a d
   7187 0.03%:  said that the left
   7188 0.03%:  spiced
   7189 0.03%:  a glitch
   7190 0.03%:  a shiny
   7191 0.03%:  named this
   7192 0.03%:  an atlas that
   7193 0.03%:  the half
   7194 0.03%:  a selfish act that damages
   7195 0.08%:  a selfish act that damages the
   7196 0.03%:  the plea that if
   7197 0.03%:  that lasting
   7198 0.03%:  said that as the play
   7199 0.03%:  the same thing each
   7200 0.03%:  the last thing a psych
   7201 0.03%:  pathetic and mel
   7202 0.03%:  the last night at the camp
   7203 0.03%:  a final test.
