because stories like this make me worry I'm living my life wrong
      0 100.00%: 
      1 2498.90%:  because
  26001 61.96%:  because sometimes I feel like making strong
  26002 61.96%:  because it's essentially
  26003 61.96%:  because everything in me tells
  26004 100.76%:  because everything in me tells me I
  26005 61.96%:  sometimes I worry we're all living some
  26006 61.96%:  because this isn't making me feel like more
  26007 61.95%:  because I like to imagine more work
  26008 107.95%:  because I like to imagine more work went
  26009 61.95%:  because sometimes I worry she'll never know
  26010 61.95%:  because I'm looking for answers everywhere
  26011 61.95%:  because it seems like a long
  26012 133.67%:  because it seems like a long time
  26013 155.70%:  because it seems like a long time for
  26014 61.95%:  because the story I was working from
  26015 61.94%:  because I'm a little self
  26016 61.94%:  because I like to imagine myself losing their
  26017 74.33%:  because I like to imagine myself losing their vir
  26018 61.93%:  sometimes I worry we're not having similarly
  26019 61.93%:  because we've all got something on
  26020 61.93%:  sometimes I imagine there's like a more
  26021 61.93%:  because it seems like if I were going to say
  26022 61.92%:  because in my version there's really
  26023 61.92%:  because I never know if
  26024 62.71%:  because I never know if it
  26025 302.92%:  because I never know if it's really
  26026 79.55%:  because I never know if it's worth my
  26027 61.92%:  because sometimes I feel like okay
  26028 61.92%:  because it seems like I'm entirely
  26029 61.92%:  sometimes I imagine things will be more fra
  26030 61.92%:  sometimes I feel like you're making me watch
  26031 61.92%:  because sometimes I worry leaving
  26032 61.91%:  because sometimes I worry we're fighting mon
  26033 104.48%:  because sometimes I worry we're fighting monkeys
  26034 61.90%:  because I feel like something is way
  26035 208.11%:  because I feel like something is way more
  26036 109.58%:  because I feel like something is way wrong
  26037 61.89%:  sometimes I worry everyone's laughing at me like
  26038 61.89%:  sometimes I like to imagine you were lying
  26039 61.89%:  because nothing ever gets
  26040 86.08%:  because nothing ever gets easier
  26041 61.89%:  because for me it seems like this really
  26042 61.89%:  because I sometimes fant
  26043 61.88%:  because everything in me says it
  26044 61.88%:  because sometimes I worry men make things
  26045 61.88%:  because I have like
  26046 94.01%:  because I have like twenty
  26047 332.83%:  because I have like twenty million
  26048 61.87%:  because it seems like a lot of work giving him
  26049 61.87%:  because I feel like this entire mission
  26050 61.87%:  because in my story these were
  26051 61.87%:  because everyone is going home early
  26052 61.86%:  because sometimes I worry things for
  26053 179.95%:  because sometimes I worry things for me
  26054 260.11%:  because sometimes I worry things for me will
  26055 986.43%:  because sometimes I worry things for me will never
  26056 147.42%:  because sometimes I worry things for me aren
  26057 61.85%:  because sometimes I worry all the women in
  26058 61.85%:  because this story will never look
  26059 61.85%:  because we're talking something so
  26060 61.84%:  sometimes I like to imagine being more skill
  26061 61.84%:  because sometimes I imagine they're only
  26062 61.83%:  because it seems everyone has
  26063 61.83%:  because for me it's something I never
  26064 637.38%:  because for me it's something I never really
  26065 61.82%:  sometimes I have trouble imagining myself so rel
  26066 61.82%:  because my emotions were entirely
  26067 61.81%:  because I was never going to tell if
  26068 61.81%:  because otherwise I feel like my initial
  26069 61.81%:  because everyone gets
  26070 124.99%:  because everyone gets to
  26071 123.57%:  because everyone gets to know
  26072 109.00%:  because everyone gets something
  26073 87.99%:  because everyone gets to hear
  26074 85.95%:  because everyone gets something from
  26075 80.79%:  because everyone gets something for
  26076 76.95%:  because everyone gets really
  26077 122.13%:  because everyone gets really into
  26078 61.80%:  because I was worrying myself
  26079 142.59%:  because I was worrying myself into
  26080 92.11%:  because I was worrying myself over
  26081 226.85%:  because I was worrying myself over something
  26082 124.80%:  because I was worrying myself over this
  26083 61.80%:  because sometimes I imagine it where
  26084 61.79%:  sometimes I have trouble seeing women'
  26085 61.79%:  because it seems like it was more work on
  26086 61.78%:  because sometimes I really worry if nothing
  26087 61.78%:  because my image of these
  26088 61.78%:  because sometimes I worry we're rolling
  26089 105.14%:  because sometimes I worry we're rolling the
  26090 61.78%:  because sometimes I like to imagine slim
  26091 118.00%:  because sometimes I like to imagine slimier
  26092 61.78%:  because sometimes I worry she'll marry
  26093 61.77%:  because there's not really one
  26094 61.77%:  because I like to imagine long
  26095 61.77%:  because sometimes I imagine throwing every
  26096 61.77%:  because everyone else was going for
  26097 61.77%:  because sometimes I feel like moving is worth
  26098 61.76%:  sometimes I like to imagine we're all more fun
  26099 61.76%:  because I feel like something real
  26100 61.76%:  because I feel like it's not making
  26101 61.75%:  sometimes I imagine myself calling out
  26102 61.75%:  because I feel like the system is
  26103 61.73%:  because I'm never going to see my life with
  26104 61.73%:  because sometimes I worry the laws
  26105 61.73%:  because I imagine the two
  26106 61.73%:  because everyone else I know starts
  26107 61.72%:  because sometimes in life everything looks
  26108 61.72%:  because I feel like something more is at
  26109 61.72%:  sometimes I feel like we're missing out by moving
  26110 61.72%:  because in my version of this game I lost
  26111 61.72%:  because sometimes I like to see a
  26112 61.71%:  because normally it's like so
  26113 61.71%:  because I think we're talking from
  26114 61.71%:  because this story is making my life look
  26115 61.70%:  because I like to imagine we're solving myster
  26116 61.70%:  because in my stories there was more
  26117 61.69%:  because now I've written myself
  26118 61.69%:  because if I were writing something
  26119 228.79%:  because if I were writing something similar
  26120 90.14%:  because if I were writing something like
  26121 61.69%:  because sometimes I like to imagine flying lower
  26122 61.69%:  because sometimes I worry everyone has it in
  26123 61.69%:  sometimes I worry we're making our lives seem
  26124 61.69%:  because sometimes I feel like shit'
  26125 61.68%:  because I imagine there's feelings
  26126 61.68%:  because this is my entire life's work on
  26127 61.67%:  because sometimes I imagine myself living with lower
  26128 61.67%:  because sometimes I like to imagine how life's in
  26129 61.67%:  because in my stories there was like
  26130 61.67%:  because sometimes I like imagine myself on
  26131 61.67%:  because everything in my life goes to
  26132 61.67%:  because it seems like I'm not losing
  26133 61.66%:  because I like to imagine him losing like forever
  26134 61.66%:  because I'm still looking for three
  26135 61.65%:  because I was looking for this line
  26136 61.65%:  because it seems like so many more moving
  26137 61.65%:  because in my version there's some great
  26138 61.65%:  because the only time I ever won
  26139 101.86%:  because the only time I ever won was
  26140 61.64%:  because sometimes I really think we're moving
  26141 61.62%:  because sometimes I worry feeling like this
  26142 61.62%:  because I feel like either
  26143 61.62%:  sometimes I like to imagine you're falling
  26144 61.62%:  sometimes I feel like my imagination's so
  26145 61.62%:  because I'm never looking at either
  26146 61.61%:  because I'm really not very
  26147 61.61%:  sometimes I worry you're making all
  26148 85.92%:  sometimes I worry you're making all these
  26149 61.61%:  sometimes I worry everything is boring
  26150 61.61%:  sometimes I imagine having my
  26151 61.61%:  because I'm feeling really en
  26152 61.60%:  because sometimes I imagine we'll get in
  26153 61.60%:  because sometimes I worry my writing has gone
  26154 61.60%:  because it seems like we're working too
  26155 61.60%:  because it seems like a lot more goes
  26156 61.59%:  because sometimes I worry religion might
