spend another decade making it so it can say other stuff too, okay?
41.67%:  go
0.57%:  not spend another day making a
0.57%:  see you pick another image,
0.57%:  see if you can do that for a
0.57%:  say that for
0.57%:  take it out for a spin and shake some
0.57%:  go make it say other
2.23%:  go make it say other stuff
0.79%:  go make it say other stuff too
0.57%:  take it apart and find
0.57%:  go make a
0.57%:  press his magic
0.57%:  keep doing this for another decade if
0.59%:  keep doing this for another decade if you
0.57%:  kiss and make out on that
0.57%:  go take him out for a nice spin,
0.57%:  kick him around in
0.57%:  spend another decade making sure that no
0.57%:  make it stop saying that for one
6.19%:  make it stop saying that for one second,
0.69%:  make it stop saying that for one second, so
0.60%:  make it stop saying that for one second so
0.57%:  do another
0.57%:  spend another ten years adding stuff to the
0.57%:  go paint the
0.57%:  see if our
0.56%:  go take him out into
0.56%:  spend the rest of today naming
0.56%:  go take it for a spin, man
0.56%:  take a second to admire his face
0.56%:  run some tests and
0.79%:  run some tests and see if that
0.56%:  go into him and see
0.56%:  spend another decade taking him out to fancy
0.56%:  stick around and see if he gets past
0.56%:  go on another road
0.56%:  keep trying to make the
0.56%:  say this
0.56%:  not spend another second of time,
0.85%:  not spend another second of time, okay
0.56%:  take it out for a spin one
185.33%:  take it out for a spin one of these days,
8.81%:  take it out for a spin one of these days?
4.26%:  take it out for a spin one of these days, and
3.55%:  take it out for a spin one of these days, m
2.82%:  take it out for a spin one of these days and
2.79%:  take it out for a spin one of these days, k
1.87%:  take it out for a spin one of these days, d
1.37%:  take it out for a spin one day
1.21%:  take it out for a spin one of these days, ok
0.75%:  take it out for a spin one day,
0.71%:  take it out for a spin one of these days, man
0.71%:  take it out for a spin one of these days, a
0.56%:  point to him and say it
0.56%:  take him for a test spin on
0.56%:  kick his ass into
0.73%:  kick his ass into another
1.66%:  kick his ass into another room and
1.04%:  kick his ass into another decade
0.67%:  kick his ass into another room and get
0.61%:  kick his ass into space
0.57%:  kick his ass into another room and see
0.56%:  feed it some food
0.56%:  keep doing that stuff
0.56%:  find some stairs and
0.56%:  kiss and make out in front of that
0.56%:  turn him off and go kiss
0.56%:  go find another friend and see
0.56%:  go to the store and pick out some snacks
0.56%:  go out to eat some
0.56%:  go out and see some
0.56%:  get out of here and find another spot to make
0.56%:  not spend another dime on this sucker
0.56%:  go see if he can kick some
0.69%:  go see if he can kick some ass today
0.56%:  see you top that, master
0.56%:  go out and find another
3.22%:  go out and find another friend
2.74%:  go out and find another friend to
3.69%:  go out and find another friend to make
2.47%:  go out and find another friend to make this
0.96%:  go out and find another friend so
1.08%:  go out and find another friend so that
0.92%:  go out and find another friend to make a
0.84%:  go out and find another friend,
0.70%:  go out and find another friend to teach
0.61%:  go out and find another friend to make it
0.56%:  make it stop saying that for a sec and see
0.56%:  make sure to keep things
0.56%:  not spend another decade making sure it stays
0.56%:  take him out for a dance, and
0.56%:  turn it off and go eat some chips
0.56%:  ask him to stop saying it and
0.56%:  ignore the issues
0.56%:  not speak of him today
0.56%:  take him to an
2.62%:  take him to an arcade
0.56%:  go kiss the
0.56%:  not forget to add the
0.56%:  make that sound
0.56%:  spend another decade making sure it says that too,
0.56%:  kick the crap out of it some
0.56%:  make it stop saying that, cause
0.56%:  go try him
0.65%:  go try him out,
0.56%:  spend another decade taking him for test
0.56%:  not forget that it is
0.56%:  go take him out for a spin today, and see
0.56%:  take him out on a date today
0.56%:  take that guy for a spin some
0.56%:  go out and kick ass
0.56%:  take him out to dinner, say
0.56%:  kick him into another
0.56%:  go take him out for a soda, okay
0.56%:  go take some naps
0.56%:  go home,
0.56%:  hang out more today,
0.56%:  hang out and admire it
0.56%:  go take him out for a day on
0.56%:  go inside of him and party,
0.56%:  take him out to coffee
0.56%:  get some action shots of our
0.56%:  take it out for some nachos and
0.56%:  turn him off and go take another nap,
0.56%:  go kick around some cans,
0.56%:  go take him to an arcade and feed
0.56%:  go take a ride in him,
0.72%:  go take a ride in him, okay
0.56%:  spend another ten years doing some stuff to
0.56%:  take that guy for a test spin
0.56%:  get another one of
2.30%:  get another one of these
1.42%:  get another one of those,
2.38%:  get another one of those, okay
0.84%:  get another one of these,
1.31%:  get another one of these, okay
0.66%:  get another one of those and
0.56%:  make it so he says,
0.56%:  not take him apart and use
0.56%:  see you make that not
0.56%:  go inside and feed
0.56%:  hang out, and
0.56%:  not spend another second of our time this
0.72%:  not spend another second of our time this day
0.56%:  get him in
0.56%:  spend another decade trying to make this not suck so
0.56%:  go take him to a party, dude
0.56%:  send him off to outer space today
0.56%:  send him out on dates
0.56%:  send him into space as a gift to another race
0.86%:  send him into space as a gift to another race of
0.56%:  go feed him steaks and
0.56%:  not keep him around another
3.42%:  not keep him around another second
0.93%:  not keep him around another second,
1.84%:  not keep him around another second, okay
0.56%:  keep on doing this for another decade, you
0.56%:  not forget to make
0.56%:  go take it out for another spin, my
0.56%:  send him to outer space to kick ass
0.56%:  see you top that, me
0.55%:  send him into space to attack
0.97%:  send him into space to attack another
0.55%:  rock that
0.55%:  take him out for another dance, okay
0.55%:  do some stuff today,
0.55%:  take him on a test
0.55%:  go take him out to a fancy steak
0.97%:  go take him out to a fancy steak dinner,
0.55%:  not spend another second of its
0.55%:  open the door to
0.55%:  see if you can top that, fat
0.55%:  send him out to eat
0.55%:  not spend another decade making this our
0.55%:  not do that again for another ten
0.55%:  kick our
0.55%:  get a coffee
0.55%:  go kick some ass around the city,
0.55%:  take him out for cake and see
0.55%:  take it out for a spin, and if
0.67%:  take it out for a spin, and if he doesn
0.55%:  go crash into some stuff and
0.55%:  team up and create another one that
0.55%:  do this for another decade, man
0.55%:  get him out for another
1.01%:  get him out for another spin,
1.16%:  get him out for another spin, okay
0.89%:  get him out for another spin today
0.55%:  not do this again for a decade
0.55%:  go take care of it
0.55%:  point to him and see
0.55%:  kick his ass around a
0.55%:  put him to rest
0.55%:  go take care of him, dude
0.55%:  go kick the crap out of its ass
0.55%:  take a second and admire this
0.55%:  see if you can top that in another
0.55%:  go punch some sense into it
0.55%:  send him to a space
0.55%:  go kick the crap out of some test
0.55%:  stick around and find
0.55%:  go into the past and take
0.55%:  see if you can get past this one
0.55%:  get out and
0.55%:  hang out for another decade?
0.55%:  send him to attack a
0.55%:  get him to take out
0.55%:  shake our fist at fate
0.56%:  shake our fist at fate and say,
0.55%:  stick around and see if he stops making
0.55%:  not spend another decade on it, guys
0.55%:  take him out for space
0.55%:  go mess around inside that
0.55%:  kick him around once
0.55%:  take this sucker to
0.55%:  find out if he does
0.55%:  take apart some of that
0.55%:  start making that
0.55%:  not take that apart
0.55%:  take a trip to his
0.55%:  not spend another second of your time
0.55%:  use him to attack a
0.55%:  get another one of these and
0.55%:  take him to a dance party and get
0.55%:  kiss and make up,
0.55%:  go find another friend to make out
0.55%:  go kick it some
0.68%:  go kick it some ass
0.55%:  make it say another phrase too,
0.55%:  go out and find another friend, okay
0.55%:  kick him around today,
0.55%:  take that for a spin some
0.55%:  take it out for a spin to see
0.55%:  see if you can make that one
0.55%:  make sure not to spend
1.87%:  make sure not to spend another
0.55%:  ask him to say it for
0.55%:  focus on that second part of it
0.55%:  go take him out for another day
0.55%:  go kick some sense
4.03%:  go kick some sense into that
1.59%:  go kick some sense into the
1.30%:  go kick some sense into that dude
1.18%:  go kick some sense into this
1.17%:  go kick some sense into the past
1.15%:  go kick some sense into that stupid
0.80%:  go kick some sense into another
0.91%:  go kick some sense into another friend
0.55%:  go kick some sense into a
0.55%:  not speak of that for
1.35%:  not speak of that for another
3.35%:  not speak of that for another decade
1.53%:  not speak of that for another decade,
1.28%:  not speak of that for another ten
0.79%:  not speak of that for another decade and
0.55%:  go find another friend to point
0.55%:  go take him out to coffee
0.55%:  punch some faces
0.55%:  make it do
0.98%:  make it do that
2.31%:  make it do that again
0.57%:  make it do that again,
0.98%:  make it do that again, okay
0.55%:  go kick the crap out of a mean
0.55%:  turn him off and go inside to eat potato
0.55%:  go take him to a dance party, dude
0.55%:  go turn him off and take another nap,
0.55%:  not do that again, kay
0.55%:  not spend another second of our days that
0.55%:  see if you can top that, smoo
0.55%:  see you make that great
0.55%:  not forget to feed it
0.55%:  teach our
0.55%:  turn him off again,
0.55%:  find out if he makes
0.55%:  go into space
0.55%:  go inside and make out on the
0.55%:  find out if he gets
0.55%:  send him out for snacks
0.55%:  run some tests to
0.55%:  set him on fire and get
0.57%:  set him on fire and get another
0.55%:  take him for a test spin today and
0.54%:  go and punch some
0.54%:  do our
0.54%:  go into the past and kick some ass,
0.54%:  modify his code
0.54%:  not spend another decade of our time
1.03%:  not spend another decade of our time on this
1.01%:  not spend another decade of our time on that,
0.54%:  get rid of him and adopt
0.99%:  get rid of him and adopt another
1.38%:  get rid of him and adopt another one
0.66%:  get rid of him and adopt a kitten
0.54%:  take it out for a spin and feed
1.61%:  take it out for a spin and feed it some snacks
0.75%:  take it out for a spin and feed it some candy
0.57%:  take it out for a spin and feed it some snacks,
0.54%:  go kick him around,
0.54%:  send him out into space to defend
0.54%:  get into the
0.54%:  go inside him for a second and take
0.54%:  get another one of those made
0.54%:  see if you can top that in terms
0.54%:  pat each
0.54%:  go kick the crap out of time and see
0.54%:  add that to our dating site
0.54%:  take him out for a spin and say,
0.54%:  modify it
1.26%:  modify it so that
0.63%:  modify it to
0.54%:  make sure he stops
1.79%:  make sure he stops saying it
0.54%:  ignore this and
0.54%:  see if you can stop him
